assertion_id,gene_id,gene_symbol,gene_aliases,stable_id,species,species_common_name,major_cell_type,cell_subtype,cell_type,ontology_id,marker_direction,tissue,condition,developmental_stage,assay,confidence,bbsr_verified,submitter,notes,evidence_count,source_titles,source_identifiers,source_url,source_links,updated_at
230,185,AKR1C3,"[DDX, HAKRB, HSD17B5, KIAA0119, PGFS]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: aldo-keto reductase family 1 member C3 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.007,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
252,207,ALDOB,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,"Product: aldolase, fructose-bisphosphate B | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.031",1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
191,146,AMY2B,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,"Product: amylase, alpha 2B (pancreatic) | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.003",1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
250,205,ANGPTL4,"[ARP4, FIAF, HFARP, PGAR, pp1158]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: angiopoietin like 4 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.031,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
247,202,ANPEP,"[CD13, PEPN, gp150]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,"Product: alanyl aminopeptidase, membrane | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.015",1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
227,182,C15ORF48,"[MIR147BHG, NMES1]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chromosome 15 open reading frame 48 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.018,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
179,134,CEL,"[BSSL, MODY8]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: carboxyl ester lipase | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.002,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
186,141,CELA1,[ELA1],,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsin like elastase family member 1 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.017,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
181,136,CELA2A,[ELA2A],,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsin like elastase family member 2A | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.005,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
170,125,CELA3A,"[ELA3, ELA3A]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsin like elastase family member 3A | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.001,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
197,152,CELA3B,"[CBPP, ELA3B]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsin like elastase family member 3B | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.007,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
221,176,CFB,"[BF, BFD, H2-Bf]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: complement factor B | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.001,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
206,161,CLPS,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: colipase | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.021,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
195,150,CPA1,[CPA],,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: carboxypeptidase A1 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.006,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
193,148,CPA2,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: carboxypeptidase A2 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.004,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
184,139,CPB1,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: carboxypeptidase B1 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.005,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
161,116,CTRB1,[CTRB],,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsinogen B1 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.017,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
201,156,CTRB2,,,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsinogen B2 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.001,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
213,168,CTRC,"[CLCR, ELA4]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: chymotrypsin C | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.003,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
241,196,CXCL17,"[Dcip1, UNQ473, VCC1]",,Homo sapiens,human,Acinar cells,,Acinar cells,"",positive,Pancreas,"","",PanglaoDB curation,high,false,,Product: C-X-C motif chemokine ligand 17 | Gene type: protein-coding gene | Germ layer: Endoderm | Ubiquitousness index: 0.007,1,PanglaoDB marker database (27 Mar 2020),10.1093/database/baz046,https://panglaodb.se/markers.html,"[{'title': 'PanglaoDB marker database (27 Mar 2020)', 'url': 'https://panglaodb.se/markers.html'}]",2026-08-14 20:27:48.145612
