gene	Endothelial.cells	Alveolar.Luminal	Basal.Myoepithelial	Pericytes	Fibroblasts	Prolif.Fibroblasts	Luminal.progenitor	Luminal.mature
Xkr4	0.011112455916971435	0.0030658852152141668	2.3399519996085	0.12185256648435579	0.19105465103456737	0.1033692197809215	0.07130081820112592	0.14982832540737345
Gm1992	0	0	0.12352688693916299	0	0.0020067924857662795	0	0.000311537148293002	0.009283559287624693
Gm19938	0	0	0.23242431278320086	0	0.003948746033338186	0.004150127724592756	0.001641746160668074	0.012282410649442055
Gm37381	0	0	0	0	0	0	0	0
Rp1	0.006000103165052928	0.0001221056028403026	0	0	0.0023372826805537457	0	0.01195690528806301	0.06753001679229281
Sox17	1.2895526304788636	0.0029828152429810344	0.061075260373551626	0.8132582200985645	0.0022678712218813435	0.30672211935317967	0.00975093216253801	0.033232875354527895
Gm37587	0.027498166322549172	0	0	0.003841612865417405	0	0.021380894352901348	0	0
Gm37323	0	0	0	0	0	0	0.0009793176736302908	0
Mrpl15	0.36946991924771155	0.1065686012249944	0.45321159074195405	0.38280128778399863	0.3132962004902212	0.3811135624357476	0.34597887831295576	0.5407936396396507
Lypla1	0.5131681230563525	0.06833260021127893	0.30147111800293047	0.39448100240950745	0.24300955663562593	0.3638647182752287	0.29353221426809256	0.7956969707371933
Tcea1	0.8145954394758053	0.18342673186932668	0.9029409375860146	0.7504135374346396	0.7303135908574769	0.9133974327546348	0.6334895831794598	0.9172668268448803
Rgs20	0.0021644629383922986	0.008725659761768952	0.0020964898066080243	0.040656547321712186	0.05738953239102076	0.05487297619155405	0.7822857024291933	0.1571053105428147
Gm16041	0	0	0	0	0	0	0	0
Atp6v1h	0.5753150398260723	0.11105775733381158	0.38623651638917983	0.47361362462922985	0.697702504161612	0.5751145063009621	0.5623673674622988	0.4419109367605648
Oprk1	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0
Rb1cc1	0.987179822879523	0.14904299795281525	0.8721463336422081	1.0117654707820773	0.7263568495035297	0.7008805514519276	0.853465249265529	0.9063377026520903
4732440D04Rik	0.03890973019337973	0.006186078731356712	0.04259174260128377	0.07375888451345151	0.02742177970046447	0.020078265633228558	0.017331274971152704	0.03970525885722993
Alkal1	0.004290137494289127	0.0001784943473040666	0	0	0	0	0.0014300030916330972	0
St18	0	0.0009613195674205926	0.004574064571071925	0.016194010572224256	0.0076103879730232025	0	0	0.0014787690358542443
Pcmtd1	0.9035324944898764	0.23974072012696465	0.8534179610268237	0.751718944303061	0.6450594041618147	0.31751615479689904	0.7328508709308578	0.8474265770828858
Gm26901	0.00042099569486499596	0.020061760340804844	0	0	0.007929517450983345	0	0.016593087391492563	0.007122224626814394
Gm30414	0	0.00011015541872197082	0	0	0	0	0	0
Sntg1	0.0007059994087228723	0.0012130806503060788	0.023906313741383866	0.0075434727674947456	0.6769694459025403	0.39892732916492946	0.004993375814221723	0.002834439882335105
Rrs1	0.16523478802068686	0.056249193483521344	0.25726086031840706	0.2368572175828908	0.3355025730336453	0.19037270747967466	0.2642415268143871	0.3933016663397648
Adhfe1	0.0058439423797034245	0.04237769743365461	0.007133804559935138	0.029756844349725742	0.06386061250125544	0.04962598834888892	0.0163405260857434	0.001194428653002288
2610203C22Rik	0.2541337677325128	0.016847244351548208	0.028585410825767932	0.06918550888675802	0.04482528944747147	0.09305698457983318	0.16342127440657964	0.09885063810503748
Vxn	0.0005919447995388932	0.001187696837035387	0	0	0.00027699149799274	0	0.0012365861903400983	0
Gm29520	0	0	0	0	0	0	0	0
Mybl1	0.025517467907697648	0.00030858779410948973	0.056094112023681954	0.02976763154183806	0.029078381788245924	0.30911661896244214	0.027704097169314105	0.03495045703819935
Vcpip1	0.372232754595208	0.04146728711363157	0.346402204589199	0.4263030137093872	0.38376561785351065	0.4026940237316208	0.27814666567474283	0.43378591272487454
